Brand,Year,Configuration,Strings,Made in,Type,Body Shape,Body Material,Neck Joint,Neck Material,Neck Profile,Scale Size,Frets,Fretboard Material,Number of Frets,Fretboard Radius,Stainless Steel Frets,Nut,Nut Width,Switch,Knobs,Volume Controls,Tone Controls,Top Pickup Brand,Pickups Power,Locking Tuners,Bridge Type,Tremolo,Price
5,14,1,1,2,2,14,6,2,2,8,6,7,1,3,5,1,11,12,1,1,1,1,1,1,0,6,1,1067.222
18,12,1,1,2,2,14,2,1,2,1,6,7,6,3,8,1,11,2,3,1,1,0,1,6,0,6,1,1303.746666666667
0,13,8,1,3,2,14,6,0,8,1,6,0,1,3,5,0,9,11,3,1,1,1,1,8,1,9,1,2100.56
13,13,1,1,2,2,14,3,0,2,2,6,0,1,3,5,0,0,11,3,1,1,1,1,1,1,4,0,1608.3266666666666
12,11,1,3,3,2,14,2,0,2,11,11,0,1,3,13,1,0,23,1,1,1,1,1,6,1,5,0,1772.458
12,14,1,1,2,2,14,3,1,2,11,6,0,1,3,10,1,14,13,3,1,1,1,1,6,1,5,0,1287.328
4,13,1,1,3,2,14,1,0,2,8,6,7,1,3,4,0,11,12,1,1,1,1,1,6,1,6,1,2374.1
3,9,9,1,3,2,14,2,0,2,9,6,0,6,2,21,0,1,12,3,0,1,1,1,8,1,9,1,1835.2766666666664
3,12,9,1,3,2,14,2,0,2,8,6,7,6,2,21,0,1,12,3,1,1,1,1,8,1,9,1,2711.043333333333
18,13,1,1,5,2,14,5,0,8,1,6,7,1,3,5,1,11,2,3,1,1,1,1,6,0,6,1,1140.356
18,11,1,1,5,2,16,2,2,2,1,6,7,1,3,5,1,11,2,1,1,1,1,1,6,0,6,1,1308.725
20,12,1,1,2,2,14,1,0,2,1,6,7,6,3,7,1,11,13,1,1,1,1,1,6,1,6,1,841.5
20,12,1,1,2,2,14,2,0,2,1,6,7,6,3,7,1,11,13,1,1,1,1,1,6,1,6,1,792.54
11,12,1,1,2,2,14,6,1,1,1,6,0,1,3,8,1,9,12,1,1,1,1,1,1,1,5,0,473.28
11,12,1,1,2,2,14,6,1,1,1,11,0,1,3,8,1,9,12,1,1,1,1,1,1,1,5,0,328.44
7,13,17,1,6,2,13,2,0,2,2,6,3,6,2,1,1,9,13,3,0,1,2,1,8,1,9,1,2083.932
7,13,1,1,6,2,15,1,0,2,2,6,3,6,2,1,1,11,10,1,1,1,1,1,6,1,6,1,2396.12
5,14,1,1,2,2,16,6,1,2,8,6,7,1,3,5,1,14,12,1,1,1,0,1,1,1,5,0,1234.1933333333334
12,11,2,1,3,2,14,1,0,2,1,6,0,6,2,4,1,1,0,3,0,1,2,1,8,1,9,1,2211.025
18,13,1,1,5,2,14,6,2,1,1,6,7,1,3,5,1,0,12,1,1,1,1,1,6,1,5,0,1258.21
12,12,9,1,2,2,14,3,0,2,1,6,0,6,2,4,1,9,12,3,0,1,1,1,8,1,9,1,1073.25
12,12,9,1,2,2,14,3,0,2,1,6,0,6,2,4,1,9,12,3,2,1,1,1,8,1,9,1,1021.8175
12,12,9,1,2,2,14,3,0,2,1,6,0,6,2,4,1,9,12,3,2,1,1,1,8,1,9,1,1083.9633333333334
12,12,1,1,2,2,14,3,0,2,1,6,0,6,3,4,1,9,12,3,2,1,1,1,6,1,9,1,1149.4133333333332
12,14,1,2,2,2,14,3,0,2,1,6,0,11,3,4,1,9,17,3,2,1,1,1,6,1,9,1,1360.06
12,14,8,1,2,2,14,3,0,2,1,6,0,1,3,4,1,9,12,3,2,1,1,1,8,1,9,1,1311.35
